Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.75776E-12,0.000000001,0.000000002,0.998505976,0,0
3.85189E-12,0.000000003,0.000000005,0.997908367,0,0
9.07393E-12,0.000000011,0.000000011,0.996613546,0,0
1.45498E-11,0.000000026,0.000000018,0.995219124,0,0
2.73805E-11,0.000000101,0.000000034,0.991633466,0,0
4.52965E-11,0.000000252,0.000000057,0.987450199,0,0
1.0292E-10,0.000001004,0.000000129,0.977091633,0,0
1.88649E-10,0.000002506,0.000000237,0.966533865,0,0
5.25837E-10,0.000010022,0.000000661,0.944621514,0,0
9.58878E-10,0.000025095,0.000001205,0.923904382,0,0
1.64053E-9,0.000050036,0.000002062,0.905079681,0,0
2.73452E-9,0.000100188,0.000003437,0.881772908,0,0
5.91407E-9,0.00025049,0.000007434,0.845517928,0,0
1.0458E-8,0.000500646,0.000013146,0.814442231,0,0
1.87158E-8,0.001002674,0.000023525,0.77938247,0,0
4.52994E-8,0.002504252,0.000056938,0.728685259,0,0
9.16879E-8,0.005007967,0.000115239,0.690836653,0,0
1.8541E-7,0.010014125,0.000233006,0.653585657,0,0
4.38942E-7,0.025034037,0.000551446,0.603486056,0,0
7.79173E-7,0.050054343,0.000978463,0.562250996,0,0
1.38533E-6,0.100036986,0.00173834,0.514541833,0,0
2.64416E-6,0.200131283,0.003312707,0.463047809,0,0
3.6607E-6,0.300223408,0.004580427,0.4312749,0,0
4.93797E-6,0.40032567,0.006168747,0.408167331,0,0
6.15775E-6,0.500487871,0.007680848,0.390239044,0,0
7.32813E-6,0.600458022,0.00912739,0.375398406,0,0
8.37804E-6,0.700315699,0.010421461,0.362749004,0,0
8.8838E-6,0.750357113,0.011043625,0.356972112,0,0
9.29404E-6,0.800433681,0.011547716,0.351494024,0,0
1.03102E-5,0.900426014,0.012794149,0.341334661,0,0
1.13689E-5,1.001077798,0.014089356,0.332071713,0,0
1.22584E-5,1.100996657,0.015175044,0.323605578,0,0
